training: rounds=170 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round  136/170 | lines    1.60 | score      185 | eps 0.020 | buf  256458 | loss 1.9488 | +  2811 |   6.0s
round  137/170 | lines    1.88 | score      210 | eps 0.020 | buf  259271 | loss 1.9367 | +  2813 |   5.4s
round  138/170 | lines    0.96 | score      111 | eps 0.020 | buf  261940 | loss 1.9654 | +  2669 |   6.4s
round  139/170 | lines    1.64 | score      185 | eps 0.020 | buf  264731 | loss 1.9669 | +  2791 |   6.7s
  eval: 1.83 lines/game (max 9), score 225, pieces 40
round  140/170 | lines    2.22 | score      265 | eps 0.020 | buf  267684 | loss 1.9941 | +  2953 |   8.3s
round  141/170 | lines    1.56 | score      178 | eps 0.020 | buf  270431 | loss 2.0061 | +  2747 |   6.2s
round  142/170 | lines    1.40 | score      162 | eps 0.020 | buf  273138 | loss 2.0113 | +  2707 |   5.8s
round  143/170 | lines    1.61 | score      194 | eps 0.020 | buf  275881 | loss 2.0209 | +  2743 |   5.9s
round  144/170 | lines    1.74 | score      212 | eps 0.020 | buf  278669 | loss 2.0396 | +  2788 |   6.1s
round  145/170 | lines    1.07 | score      116 | eps 0.020 | buf  281308 | loss 2.0214 | +  2639 |   6.3s
round  146/170 | lines    0.92 | score      108 | eps 0.020 | buf  283949 | loss 2.0400 | +  2641 |   6.2s
round  147/170 | lines    1.29 | score      146 | eps 0.020 | buf  286640 | loss 2.0511 | +  2691 |   6.2s
round  148/170 | lines    0.90 | score       98 | eps 0.020 | buf  289257 | loss 2.0407 | +  2617 |   6.3s
round  149/170 | lines    1.36 | score      151 | eps 0.020 | buf  291940 | loss 2.0639 | +  2683 |   6.5s
  eval: 0.42 lines/game (max 2), score 46, pieces 34
round  150/170 | lines    0.50 | score       54 | eps 0.020 | buf  294450 | loss 2.0730 | +  2510 |   7.9s
round  151/170 | lines    0.43 | score       45 | eps 0.020 | buf  296970 | loss 2.0324 | +  2520 |   6.6s
round  152/170 | lines    1.14 | score      131 | eps 0.020 | buf  299665 | loss 2.0505 | +  2695 |   7.0s
round  153/170 | lines    0.28 | score       31 | eps 0.020 | buf  302095 | loss 2.0197 | +  2430 |  10.6s
round  154/170 | lines    0.75 | score       83 | eps 0.020 | buf  304658 | loss 2.0471 | +  2563 |   8.6s
round  155/170 | lines    0.88 | score       94 | eps 0.020 | buf  307258 | loss 2.0316 | +  2600 |   7.9s
round  156/170 | lines    0.90 | score      100 | eps 0.020 | buf  309875 | loss 2.0507 | +  2617 |   9.9s
round  157/170 | lines    0.89 | score      103 | eps 0.020 | buf  312481 | loss 2.0378 | +  2606 |   7.9s
round  158/170 | lines    1.12 | score      126 | eps 0.020 | buf  315100 | loss 2.0292 | +  2619 |   8.2s
round  159/170 | lines    0.81 | score       92 | eps 0.020 | buf  317691 | loss 2.0366 | +  2591 |   7.8s
  eval: 0.75 lines/game (max 2), score 75, pieces 36
round  160/170 | lines    0.69 | score       74 | eps 0.020 | buf  320257 | loss 2.0389 | +  2566 |   9.8s
round  161/170 | lines    1.18 | score      129 | eps 0.020 | buf  322943 | loss 2.0442 | +  2686 |   7.7s
round  162/170 | lines    0.93 | score      102 | eps 0.020 | buf  325578 | loss 2.0457 | +  2635 |   8.2s
round  163/170 | lines    1.14 | score      126 | eps 0.020 | buf  328251 | loss 2.0453 | +  2673 |   8.1s
round  164/170 | lines    1.17 | score      135 | eps 0.020 | buf  330890 | loss 2.0496 | +  2639 |   8.7s
round  165/170 | lines    0.74 | score       77 | eps 0.020 | buf  333457 | loss 2.0399 | +  2567 |   8.0s
round  166/170 | lines    0.76 | score       92 | eps 0.020 | buf  336061 | loss 2.0607 | +  2604 |   8.0s
round  167/170 | lines    0.76 | score       83 | eps 0.020 | buf  338642 | loss 2.0579 | +  2581 |   7.9s
round  168/170 | lines    1.32 | score      140 | eps 0.020 | buf  341402 | loss 2.0336 | +  2760 |   7.4s
round  169/170 | lines    0.96 | score      108 | eps 0.020 | buf  344076 | loss 2.0707 | +  2674 |   7.4s
  eval: 1.25 lines/game (max 4), score 133, pieces 37
round  170/170 | lines    0.90 | score       99 | eps 0.020 | buf  346663 | loss 2.0350 | +  2587 |   9.4s
done in 764s. checkpoints: D:\Coding\RL4W\tetrisrl\checkpoints\uniA.pt, D:\Coding\RL4W\tetrisrl\checkpoints\best_uniA.pt
