training: rounds=170 workers=12 episodes/worker=6 grad_steps/round=300 device=cpu
  lr=0.0007 gamma=0.99 n_step=3 eps 1.0->0.02 over 250000 steps
round  146/170 | lines    0.69 | score       70 | eps 0.025 | buf  248696 | loss 1.4847 | +  2005 |   5.8s
round  147/170 | lines    0.68 | score       70 | eps 0.020 | buf  250800 | loss 1.4959 | +  2104 |   5.7s
round  148/170 | lines    0.90 | score       94 | eps 0.020 | buf  252941 | loss 1.5021 | +  2141 |   5.8s
round  149/170 | lines    0.79 | score       84 | eps 0.020 | buf  254896 | loss 1.5068 | +  1955 |   5.5s
  eval: 0.92 lines/game (max 4), score 92, pieces 28
round  150/170 | lines    0.88 | score       92 | eps 0.020 | buf  256932 | loss 1.5116 | +  2036 |   7.0s
round  151/170 | lines    0.94 | score      101 | eps 0.020 | buf  259115 | loss 1.5209 | +  2183 |   5.8s
round  152/170 | lines    0.88 | score       97 | eps 0.020 | buf  261207 | loss 1.5309 | +  2092 |   5.9s
round  153/170 | lines    0.92 | score       97 | eps 0.020 | buf  263277 | loss 1.5293 | +  2070 |   6.0s
round  154/170 | lines    0.56 | score       60 | eps 0.020 | buf  265234 | loss 1.5389 | +  1957 |   5.6s
round  155/170 | lines    0.72 | score       75 | eps 0.020 | buf  267175 | loss 1.5368 | +  1941 |   5.8s
round  156/170 | lines    1.03 | score      110 | eps 0.020 | buf  269272 | loss 1.5585 | +  2097 |   5.8s
round  157/170 | lines    0.85 | score       90 | eps 0.020 | buf  271308 | loss 1.5489 | +  2036 |   6.0s
round  158/170 | lines    0.96 | score      102 | eps 0.020 | buf  273327 | loss 1.5641 | +  2019 |   6.2s
round  159/170 | lines    0.92 | score       97 | eps 0.020 | buf  275180 | loss 1.5720 | +  1853 |   6.0s
  eval: 0.17 lines/game (max 1), score 17, pieces 26
round  160/170 | lines    0.57 | score       58 | eps 0.020 | buf  276929 | loss 1.5891 | +  1749 |   7.2s
round  161/170 | lines    0.76 | score       81 | eps 0.020 | buf  278931 | loss 1.5688 | +  2002 |   6.1s
round  162/170 | lines    0.74 | score       76 | eps 0.020 | buf  280874 | loss 1.5848 | +  1943 |   6.2s
round  163/170 | lines    0.57 | score       58 | eps 0.020 | buf  282752 | loss 1.5873 | +  1878 |   6.1s
round  164/170 | lines    0.60 | score       62 | eps 0.020 | buf  284732 | loss 1.5849 | +  1980 |   6.1s
round  165/170 | lines    0.96 | score      106 | eps 0.020 | buf  286903 | loss 1.5830 | +  2171 |   6.2s
round  166/170 | lines    0.83 | score       88 | eps 0.020 | buf  288873 | loss 1.5900 | +  1970 |   6.1s
round  167/170 | lines    1.07 | score      118 | eps 0.020 | buf  291042 | loss 1.6067 | +  2169 |   6.2s
round  168/170 | lines    0.82 | score       89 | eps 0.020 | buf  293038 | loss 1.6001 | +  1996 |   6.0s
round  169/170 | lines    1.07 | score      113 | eps 0.020 | buf  295236 | loss 1.6181 | +  2198 |   6.2s
  eval: 0.42 lines/game (max 2), score 42, pieces 28
round  170/170 | lines    0.94 | score      100 | eps 0.020 | buf  297298 | loss 1.6362 | +  2062 |   7.5s
done in 731s. checkpoints: D:\Coding\RL4W\tetrisrl\checkpoints\latest.pt, D:\Coding\RL4W\tetrisrl\checkpoints\best.pt
wall clock: 732s
